"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 01:26:59 UTC 2024","Tue Jul 23 01:27:03 UTC 2024","3332","webkit","ProductTesting.spec.js","","","","ProductTesting",""
"passed","Tue Jul 23 01:18:39 UTC 2024","Tue Jul 23 01:18:43 UTC 2024","4717","chromium","Add -to-cart-1.spec.js","","","","Testing Add to Cart button from product detail page",""
"passed","Tue Jul 23 01:21:36 UTC 2024","Tue Jul 23 01:21:40 UTC 2024","4386","firefox","Add -to-cart-1.spec.js","","","","Testing Add to Cart button from product detail page",""
"passed","Tue Jul 23 01:26:50 UTC 2024","Tue Jul 23 01:26:56 UTC 2024","6966","webkit","HelpDropdownVisibility.spec.js","","","","Checking for the Visibility of the icons in the help dropdown",""
"passed","Tue Jul 23 01:23:54 UTC 2024","Tue Jul 23 01:23:57 UTC 2024","2776","firefox","ProductTesting.spec.js","","","","ProductTesting",""
"passed","Tue Jul 23 01:27:03 UTC 2024","Tue Jul 23 01:27:06 UTC 2024","3352","webkit","Search-SearchButton.spec.js","","","","Checking the functionality of Search and Search button",""
"passed","Tue Jul 23 01:20:56 UTC 2024","Tue Jul 23 01:20:57 UTC 2024","1422","chromium","NavComponentsVisibility.spec.js","","","","Checking for the presence of category icons in Navbar",""
"passed","Tue Jul 23 01:23:57 UTC 2024","Tue Jul 23 01:23:59 UTC 2024","2540","firefox","Search-SearchButton.spec.js","","","","Checking the functionality of Search and Search button",""
"passed","Tue Jul 23 01:20:54 UTC 2024","Tue Jul 23 01:20:56 UTC 2024","2293","chromium","HelpDropdownVisibility.spec.js","","","","Checking for the Visibility of the icons in the help dropdown",""
"passed","Tue Jul 23 01:23:52 UTC 2024","Tue Jul 23 01:23:54 UTC 2024","1898","firefox","NavComponentsVisibility.spec.js","","","","Checking for the presence of category icons in Navbar",""
"passed","Tue Jul 23 01:24:00 UTC 2024","Tue Jul 23 01:24:10 UTC 2024","10540","webkit","Add -to-cart-1.spec.js","","","","Testing Add to Cart button from product detail page",""
"passed","Tue Jul 23 01:21:32 UTC 2024","Tue Jul 23 01:21:35 UTC 2024","3382","chromium","Search-SearchButton.spec.js","","","","Checking the functionality of Search and Search button",""
"passed","Tue Jul 23 01:21:28 UTC 2024","Tue Jul 23 01:21:32 UTC 2024","3622","chromium","ProductTesting.spec.js","","","","ProductTesting",""
"passed","Tue Jul 23 01:18:45 UTC 2024","Tue Jul 23 01:20:54 UTC 2024","129029","chromium","CardComponentCategory.spec.js","","","","Testing of Card components",""
"passed","Tue Jul 23 01:21:46 UTC 2024","Tue Jul 23 01:23:52 UTC 2024","126016","firefox","HelpDropdownVisibility.spec.js","","","","Checking for the Visibility of the icons in the help dropdown",""
"passed","Tue Jul 23 01:26:57 UTC 2024","Tue Jul 23 01:26:59 UTC 2024","2472","webkit","NavComponentsVisibility.spec.js","","","","Checking for the presence of category icons in Navbar",""
"passed","Tue Jul 23 01:24:12 UTC 2024","Tue Jul 23 01:24:19 UTC 2024","6846","webkit","CardComponentCategory.spec.js","","","","Testing of Card components",""
"passed","Tue Jul 23 01:21:40 UTC 2024","Tue Jul 23 01:21:46 UTC 2024","5529","firefox","CardComponentCategory.spec.js","","","","Testing of Card components",""
